Cubs Wins,White Sox Wins
125,117
121,116
125,114
126,115
117,128
115,118
116,110
126,110
128,121
123,117
131,118
133,123
120,121
118,115
132,120
117,125
123,118
122,115
125,118
129,117
125,113
130,115
129,115
131,119
128,128
118,112
125,118
129,119
130,117
136,114
129,120
124,114
130,125
118,115
129,123
130,118
136,104
135,113
133,117
133,125
127,118
118,114
126,119
122,110
124,113
126,120
130,112
115,123
128,122
126,115
123,119
134,114
121,122
118,116
130,116
124,114
130,120
125,121
115,122
137,112
136,116
120,116
134,126
118,123
133,117
130,117
117,119
134,112
119,123
127,125
126,116
128,124
134,120
132,119
126,118
118,118
125,123
121,120
125,122
126,119
131,107
133,112
125,120
122,125
129,125
121,124
121,132
124,115
122,125
119,120
132,121
124,127
126,114
123,122
131,120
126,120
119,121
125,112
126,122
115,122
123,112
125,123
119,114
128,126
124,122
130,114
127,114
116,118
120,111
118,121
120,121
129,104
129,108
122,117
138,130
126,125
131,121
120,126
125,113
121,117
118,123
120,121
117,122
124,108
122,108
124,114
121,112
127,122
129,118
133,113
139,117
125,110
126,111
127,124
125,121
133,112
135,122
130,112
133,114
125,123
126,122
117,120
131,117
127,113
128,113
118,109
130,121
130,121
121,113
121,113
131,121
123,119
129,119
121,121
121,118
124,118
122,126
129,116
110,120
125,128
126,120
123,121
135,120
121,112
129,122
116,115
126,117
114,124
128,111
124,121
125,119
121,121
127,124
122,121
127,112
126,127
125,125
117,116
116,125
128,116
132,118
134,120
125,112
114,117
121,118
131,116
119,123
123,126
125,119
123,113
124,110
129,117
130,116
124,114
124,115
126,114
136,120
130,120
127,111
119,104
130,110
124,114
127,112
127,126
131,115
123,122
131,117
128,112
126,118
123,112
135,108
128,124
127,123
120,116
128,122
123,115
125,114
124,123
119,122
129,119
125,113
120,116
118,122
131,122
133,127
131,123
137,104
128,121
124,126
129,124
123,110
122,126
120,108
124,117
126,120
118,118
116,115
120,126
118,114
122,123
131,112
120,113
130,115
129,124
124,126
127,122
128,109
114,113
124,108
126,121
126,118
128,115
126,123
119,124
121,113
135,109
130,121
119,113
133,112
128,121
129,119
138,118
125,115
120,110
128,118
118,123
136,117
137,117
129,123
128,119
126,121
131,125
135,115
118,111
123,126
124,116
114,120
132,117
124,102
123,119
117,120
126,120
125,119
128,110
134,117
124,114
127,113
132,122
122,111
130,112
124,125
133,123
134,113
127,109
131,112
127,121
126,120
121,115
125,122
127,120
126,119
128,113
131,113
131,124
128,115
112,105
118,116
128,124
129,125
128,120
133,107
139,114
134,114
124,119
121,116
119,118
123,122
120,118
122,121
135,106
131,126
130,114
124,114
127,116
125,124
131,133
125,114
129,122
117,122
121,125
131,109
117,122
127,117
126,109
130,123
132,119
126,114
128,128
132,106
128,114
129,124
131,125
119,120
125,119
125,120
132,126
128,114
128,114
133,110
128,122
132,108
136,114
117,108
129,119
128,124
125,115
135,112
122,113
121,105
125,120
128,115
138,114
132,112
130,118
129,109
128,123
128,115
124,116
125,117
125,122
126,117
129,109
125,117
133,122
115,126
138,125
126,114
122,115
127,114
138,120
119,119
129,116
118,104
121,108
130,113
128,114
121,115
125,111
118,122
137,124
131,117
117,119
137,128
138,123
120,117
131,109
124,122
127,121
128,125
126,124
124,119
123,115
124,113
124,116
133,123
126,128
115,118
131,125
128,112
118,120
115,114
125,119
126,119
129,112
128,119
124,126
121,127
129,126
133,126
121,121
128,113
132,111
136,116
137,111
130,108
110,123
130,112
126,120
124,114
125,110
129,111
128,127
124,117
130,113
127,119
125,124
119,117
121,126
132,122
123,126
132,126
123,120
126,112
127,117
130,119
126,109
127,121
126,124
132,134
121,115
120,116
131,118
128,118
123,120
128,118
122,125
122,123
123,118
136,112
125,117
139,119
126,129
131,123
130,127
130,121
130,113
122,121
133,121
128,112
121,114
132,133
124,129
129,113
127,126
125,115
140,110
129,112
127,115
131,120
127,118
127,115
133,117
129,127
134,108
122,116
130,124
127,125
127,122
127,123
127,114
133,126
126,120
129,116
121,126
127,111
135,117
126,124
123,117
135,121
124,127
124,113
129,120
128,126
136,118
125,120
118,114
122,112
134,121
122,103
127,112
123,115
129,118
125,129
116,114
123,124
122,120
128,116
127,108
124,118
125,119
114,119
124,121
128,128
128,119
119,120
123,118
133,119
127,110
119,118
129,116
132,118
132,118
129,115
136,104
124,127
132,113
127,111
128,117
136,112
122,116
135,121
129,119
135,124
132,115
130,123
127,104
130,107
125,119
131,108
127,122
132,120
120,122
122,115
132,110
123,108
119,118
113,119
121,116
124,127
131,120
130,112
130,117
130,116
131,116
123,110
126,110
125,118
126,117
124,125
132,117
128,123
130,128
121,113
123,112
126,125
126,121
132,121
136,113
134,122
132,123
117,109
111,116
129,125
130,121
127,124
116,126
118,120
128,119
124,121
121,113
119,116
123,118
138,112
123,117
125,113
126,115
114,123
131,116
121,112
129,130
119,122
128,115
123,112
125,117
129,119
123,113
128,114
133,121
124,111
139,120
128,131
123,119
124,121
123,119
122,98
128,114
121,113
131,123
129,121
132,114
127,119
126,125
120,114
131,121
130,112
132,120
122,125
132,118
123,112
133,111
120,120
135,109
127,119
128,118
137,113
130,126
129,119
124,119
127,117
119,127
120,120
118,121
117,118
125,116
123,109
133,122
128,113
129,119
120,112
121,113
124,126
124,119
123,120
120,121
127,112
133,119
124,121
122,107
123,121
124,125
113,121
130,115
126,114
122,128
121,121
135,111
128,120
124,121
123,116
136,119
124,115
119,122
122,112
127,121
131,123
134,123
124,112
129,119
125,129
117,122
122,116
127,128
127,115
121,117
125,122
125,119
124,114
118,117
126,129
122,124
131,104
121,107
131,115
128,116
134,115
130,107
116,115
124,110
123,128
129,114
118,122
131,108
126,128
128,114
123,117
120,112
128,111
122,108
134,109
130,123
126,121
128,112
124,127
117,126
124,113
117,110
123,120
131,103
130,118
125,125
127,120
129,122
126,114
123,120
135,122
137,119
135,118
123,118
127,101
136,123
140,105
134,114
125,120
127,114
122,124
127,121
132,116
132,119
130,118
119,122
127,115
135,120
126,121
129,123
130,117
130,126
127,118
132,116
132,119
126,124
134,122
127,125
124,125
120,125
123,124
131,108
125,110
128,120
128,117
134,114
124,122
126,118
124,116
124,123
121,114
129,120
118,127
126,108
133,118
129,122
137,111
120,123
125,120
121,117
126,120
134,119
126,118
113,128
119,115
122,118
134,115
124,119
127,118
137,112
136,119
130,114
119,117
121,119
125,114
117,125
127,118
125,110
126,112
128,122
126,127
113,119
127,123
128,117
123,120
125,110
132,111
124,118
126,115
121,128
134,116
125,113
125,118
126,118
119,108
126,114
129,123
124,116
122,125
128,109
127,115
136,115
124,116
123,130
131,112
130,122
127,120
132,117
130,119
125,112
132,114
126,121
121,113
122,116
130,132
124,122
119,114
120,115
142,110
127,114
124,110
123,118
117,121
129,116
129,112
125,125
130,109
116,114
120,113
125,119
125,117
125,120
127,114
129,114
126,117
137,110
124,115
127,111
130,119
127,125
130,121
119,135
124,122
128,113
133,114
129,114
130,128
118,127
126,118
127,109
117,106
125,121
124,127
130,122
126,113
122,116
130,120
123,114
126,117
126,116
121,115
122,115
123,128
127,120
135,120
124,122
126,122
128,111
127,128
129,112
128,117
123,117
127,113
137,110
127,123
121,112
125,118
126,131
123,122
132,115
129,118
129,121
135,111
123,114
123,120
128,123
122,118
128,122
129,119
125,108
131,109
130,120
123,119
127,122
126,122
129,120
116,121
133,134
127,123
131,114
119,115
138,115
125,116
134,118
131,102
127,116
128,115
139,112
125,119
128,126
126,107
132,128
126,126
123,111
128,109
132,111
115,113
123,113
135,113
118,119
126,115
122,128
129,115
126,126
135,110
129,119
116,119
123,113
129,116
129,116
129,127
120,105
121,111
130,115
120,120
125,130
122,124
121,115
130,123
121,110
125,115
134,115
127,123
114,117
140,118
127,117
126,118
126,117
120,119
123,109
123,110
125,119
123,125
143,118
124,134
135,115
135,115
127,123
123,122
132,112
132,123
126,108
127,116
126,118
125,121
130,114
128,122
128,106
127,122
122,116
129,120
125,108
122,111
128,119
122,120
133,117
118,121
133,107
127,119
126,116
123,132
126,111
124,113
135,112
121,120
130,118
