Rk,Uni,Name,Birth,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,49,Jordan Leasure,us US,Pitcher,*,,26,R,R,6' 3",220,Aug 15 1998,2017,leasujo01
2,71,Cam Booser,us US,Pitcher,*,,33,L,L,6' 3",230,May 4 1992,2011,booseca01
3,61,Mike Vasil,us US,Pitcher,*,,25,L,R,6' 5",244,Mar 19 2000,2019,vasilmi01
4,60,Miguel Castro,do DO,Pitcher,*,,30,R,R,6' 7",201,Dec 24 1994,2012,castrmi01
5,36,Steven Wilson,us US,Pitcher,*,,30,R,R,6' 4",220,Aug 24 1994,2014,wilsost02
6,51,Jared Shuster,us US,Pitcher,*,,26,L,L,6' 3",220,Aug 3 1998,2018,shustja01
7,48,Jonathan Cannon,us US,Pitcher,*,,24,R,R,6' 6",225,Jul 19 2000,2020,cannojo02
8,53,Brandon Eisert,us US,Pitcher,*,,27,L,L,6' 2",210,Jan 19 1998,2016,eiserbr01
9,94,Yoendrys Gómez,ve VE,Pitcher,*,,25,R,R,6' 3",212,Oct 15 1999,2017,gomezyo01
10,65,Davis Martin,us US,Pitcher,*,,28,L,R,6' 2",215,Jan 4 1997,2016,martida03
11,59,Sean Burke,us US,Pitcher,*,,25,R,R,6' 6",240,Dec 18 1999,2020,burkese01
12,46,Bryse Wilson,us US,Pitcher,*,,27,R,R,6' 2",255,Dec 20 1997,2016,wilsobr02
13,64,Shane Smith,us US,Pitcher,*,,25,R,R,6' 3",240,Apr 4 2000,2020,smithsh02
14,41,Vinny Capra,us US,Position,*,,28,R,R,5' 8",188,Jul 7 1996,2017,capravi01
15,20,Miguel Vargas,cu CU,Position,*,,25,R,R,6' 2",225,Nov 17 1999,2014,vargami01
16,27,Brooks Baldwin,us US,Position,*,,24,S,R,6' 1",195,Aug 15 2000,2019,baldwbr01
17,21,Michael A. Taylor,us US,Position,*,,34,R,R,6' 4",215,Mar 26 1991,2010,taylomi02
18,25,Andrew Vaughn,us US,Position,*,,27,R,R,5' 10",215,Apr 3 1998,2017,vaughan01
19,7,Edgar Quero,cu CU,Position,*,,22,S,R,5' 10",205,Apr 6 2003,2021,queroed01
20,10,Chase Meidroth,us US,Position,*,,23,R,R,5' 10",190,Jul 23 2001,2019,meidrch01
21,88,Luis Robert Jr.,cu CU,Position,*,,27,R,R,6' 2",225,Aug 3 1997,2013,roberlu01
22,50,Lenyn Sosa,ve VE,Position,*,,25,R,R,5' 11",210,Jan 25 2000,2017,sosale01
23,30,Tim Elko,us US,Position,*,,26,R,R,6' 3",250,Dec 27 1998,2018,elkoti01
24,47,Joshua Palacios,us US,Position,*,,29,L,R,6' 0",210,Jul 30 1995,2014,palacjo01
25,5,Josh Rojas,us US,Position,*,,31,L,R,6' 1",200,Jun 30 1994,2015,rojasjo01
26,29,Matt Thaiss,us US,Position,*,,30,L,R,5' 11",215,May 6 1995,2014,thaisma01
27,15,Austin Slater,us US,Position,,10-day,32,R,R,6' 1",205,Dec 13 1992,2012,slateau01
28,26,Korey Lee,us US,Position,,10-day,26,R,R,6' 0",225,Jul 25 1998,2017,leeko01
29,23,Andrew Benintendi,us US,Position,,10-day,30,L,L,5' 10",185,Jul 6 1994,2014,beninan01
30,18,Mike Tauchman,us US,Position,,10-day,34,L,L,6' 1",215,Dec 3 1990,2011,tauchmi01
31,55,Fraser Ellard,us US,Pitcher,,15-day,27,L,L,6' 3",220,Nov 6 1997,2017,ellarfr01
32,40,Tyler Gilbert,us US,Pitcher,,15-day,31,L,L,6' 3",225,Dec 22 1993,2015,gilbety01
33,66,Prelander Berroa,do DO,Pitcher,,60-day,25,R,R,5' 11",215,Apr 18 2000,2017,berropr01
34,54,Martín Pérez,ve VE,Pitcher,,60-day,34,L,L,6' 0",210,Apr 4 1991,2008,perezma02
35,33,Drew Thorpe,us US,Pitcher,,60-day,24,L,R,6' 4",220,Oct 1 2000,2019,thorpdr01
36,,Ky Bush,us US,Pitcher,,60-day,25,L,L,6' 6",250,Nov 12 1999,2018,bushky01
37,62,Jesse Scholtens,us US,Pitcher,,60-day,31,R,R,6' 4",240,Apr 6 1994,2013,scholje01
38,58,Jairo Iriarte,ve VE,Pitcher,,,23,R,R,6' 4",240,Dec 15 2001,2019,iriarja01
39,73,Wikelman González,ve VE,Pitcher,,,23,R,R,6' 0",220,Mar 25 2002,2019,redirect.fcgi?player=1&mlb_ID=682790
40,37,Gus Varland,us US,Pitcher,,,28,L,R,6' 1",225,Nov 6 1996,2016,varlagu01
41,57,Owen White,us US,Pitcher,,,25,R,R,6' 3",200,Aug 9 1999,2021,whiteow01
42,43,Nick Nastrini,us US,Pitcher,,,25,R,R,6' 3",220,Feb 18 2000,2018,nastrni01
43,68,Caleb Freeman,us US,Pitcher,,,27,R,R,6' 1",195,Feb 23 1998,2017,freemca01
44,44,Bryan Ramos,cu CU,Position,,,23,R,R,6' 2",225,Mar 12 2002,2019,ramosbr01
45,83,Colson Montgomery,us US,Position,,,23,L,R,6' 3",230,Feb 27 2002,2021,redirect.fcgi?player=1&mlb_ID=695657