Rk,Player,Handedness,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,Awards,Player-additional,EligiblePositions,PositionFlexibility,IsP,IsC,Is1B,Is2B,Is3B,IsSS,IsLF,IsCF,IsRF,IsOF,IsDH,IsUT
1,Jacob Amaya,R,26,us US,R,R,5-10,180,1998-09-03,3,34,24,33,34,1,0,0,0,0,33,0,0,0,0,0,0,2,,amayaja01,"P,SS",2,1,0,0,0,0,1,0,0,0,0,0,0
2,Brooks Baldwin,B,24,us US,B,R,6-1,195,2000-08-15,2,43,34,43,42,0,0,0,9,1,10,23,4,8,32,0,,,,baldwbr01,"2B,3B,SS,LF,CF,RF,OF",7,0,0,0,1,1,1,1,1,1,1,0,0
3,Andrew Benintendi,L,30,us US,L,L,5-10,185,1994-07-06,10,24,23,24,18,0,0,0,0,0,0,18,0,0,18,6,,,,beninan01,"LF,OF,DH",3,0,0,0,0,0,0,1,0,0,1,1,0
4,Cam Booser,L,33,us US,L,L,6-3,230,1992-05-04,2,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,,booseca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
5,Sean Burke,R,25,us US,R,R,6-6,240,1999-12-18,2,10,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,burkese01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
6,Jonathan Cannon,R,24,us US,R,R,6-6,225,2000-07-19,2,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,cannojo02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
7,Miguel Castro,R,30,do DO,R,R,6-7,201,1994-12-24,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,castrmi01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
8,Mike Clevinger,R,34,us US,R,R,6-4,215,1990-12-21,9,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,,clevimi01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
9,Bobby Dalbec,R,30,us US,R,R,6-3,225,1995-06-29,6,7,4,7,7,0,0,5,0,1,3,0,0,0,0,0,,,,dalbebo01,"1B,3B,SS",3,0,0,1,0,1,1,0,0,0,0,0,0
10,Brandon Eisert,L,27,us US,L,L,6-2,210,1998-01-19,2,18,2,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,,eiserbr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
11,Tim Elko,R,26,us US,R,R,6-3,250,1998-12-27,1st,6,5,6,4,0,0,4,0,0,0,0,0,0,0,2,,,,elkoti01,"1B,DH",2,0,0,1,0,0,0,0,0,0,0,1,0
12,Fraser Ellard,L,27,us US,L,L,6-3,220,1997-11-06,2,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,ellarfr01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
13,Caleb Freeman,R,27,us US,R,R,6-1,195,1998-02-23,1st,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,freemca01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
14,Tyler Gilbert,L,31,us US,L,L,6-3,225,1993-12-22,5,13,3,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,,gilbety01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
15,Yoendrys Gómez,R,25,ve VE,R,R,6-3,212,1999-10-15,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,gomezyo01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
16,Travis Jankowski,L,34,us US,L,R,6-3,195,1991-06-15,11,7,4,7,6,0,0,0,0,0,0,0,2,5,6,0,,,,jankotr01,"CF,RF,OF",3,0,0,0,0,0,0,0,1,1,1,0,0
17,Greg Jones,B,27,us US,B,R,6-0,175,1998-03-07,2,3,0,3,1,0,0,0,0,0,0,0,0,1,1,0,,,,jonesgr02,"RF,OF",2,0,0,0,0,0,0,0,0,1,1,0,0
18,Jordan Leasure,R,26,us US,R,R,6-3,220,1998-08-15,2,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,,leasujo01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
19,Korey Lee,R,26,us US,R,R,6-0,225,1998-07-25,4,9,4,9,6,0,6,0,0,0,0,0,0,0,0,1,,,,leeko01,"C,DH",2,0,1,0,0,0,0,0,0,0,0,1,0
20,Davis Martin,L,28,us US,L,R,6-2,215,1997-01-04,3,9,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,martida03,P,1,1,0,0,0,0,0,0,0,0,0,0,0
21,Nick Maton,L,28,us US,L,R,6-1,190,1997-02-18,5,25,15,25,8,0,0,5,1,0,0,1,0,1,2,14,,,,matonni01,"1B,2B,LF,RF,OF,DH",6,0,0,1,1,0,0,1,0,1,1,1,0
22,Chase Meidroth,R,23,us US,R,R,5-10,190,2001-07-23,1st,23,21,23,23,0,0,0,10,0,22,0,0,0,0,0,,,,meidrch01,"2B,SS",2,0,0,0,1,0,1,0,0,0,0,0,0
23,Penn Murfee,R,31,us US,R,R,6-2,205,1994-05-02,3,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,,murfepe01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
24,Omar Narváez,L,33,ve VE,L,R,5-11,240,1992-02-10,10,4,3,4,4,0,4,0,0,0,0,0,0,0,0,0,,,,narvaom01,C,1,0,1,0,0,0,0,0,0,0,0,0,0
25,Joshua Palacios,L,29,us US,L,R,6-0,210,1995-07-30,5,32,22,32,30,0,0,0,0,0,0,1,0,29,30,2,,,,palacjo01,"LF,RF,OF,DH",4,0,0,0,0,0,0,1,0,1,1,1,0
26,Martín Pérez,L,34,ve VE,L,L,6-0,210,1991-04-04,14,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,perezma02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
27,Edgar Quero,B,22,cu CU,B,R,5-10,205,2003-04-06,1st,24,20,24,18,0,18,0,0,0,0,0,0,0,0,5,,,,queroed01,"C,DH",2,0,1,0,0,0,0,0,0,0,0,1,0
28,Luis Robert Jr.,R,27,cu CU,R,R,6-2,225,1997-08-03,6,42,41,42,39,0,0,0,0,0,0,0,39,0,39,3,,,,roberlu01,"CF,OF,DH",3,0,0,0,0,0,0,0,1,0,1,1,0
29,Josh Rojas,L,31,us US,L,R,6-1,200,1994-06-30,7,11,9,11,10,0,0,0,4,7,0,3,0,0,3,0,,,,rojasjo01,"2B,3B,LF,OF",4,0,0,0,1,1,0,1,0,0,1,0,0
30,Jared Shuster,L,26,us US,L,L,6-3,220,1998-08-03,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,shustja01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
31,Austin Slater,R,32,us US,R,R,6-1,205,1992-12-13,9,8,4,8,5,0,0,0,0,0,0,0,0,5,5,2,,,,slateau01,"RF,OF,DH",3,0,0,0,0,0,0,0,0,1,1,1,0
32,Shane Smith,R,25,us US,R,R,6-3,240,2000-04-04,1st,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,smithsh02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
33,Lenyn Sosa,R,25,ve VE,R,R,5-11,210,2000-01-25,4,44,40,44,40,0,0,8,38,3,0,0,0,0,0,2,,,,sosale01,"1B,2B,3B,DH",4,0,0,1,1,1,0,0,0,0,0,1,0
34,Mike Tauchman,L,34,us US,L,L,6-1,215,1990-12-03,8,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,,,,tauchmi01,"RF,OF",2,0,0,0,0,0,0,0,0,1,1,0,0
35,Michael A. Taylor,R,34,us US,R,R,6-4,215,1991-03-26,12,38,27,38,32,0,0,0,0,0,0,10,8,17,32,2,,,,taylomi02,"LF,CF,RF,OF,DH",5,0,0,0,0,0,0,1,1,1,1,1,0
36,Matt Thaiss,L,30,us US,L,R,5-11,215,1995-05-06,7,32,24,32,26,0,26,1,0,0,0,0,0,0,0,1,,,,thaisma01,"C,1B,DH",3,0,1,1,0,0,0,0,0,0,0,1,0
37,Miguel Vargas,R,25,cu CU,R,R,6-2,225,1999-11-17,4,43,42,43,41,0,0,5,0,38,0,0,0,0,0,2,,,,vargami01,"1B,3B,DH",3,0,0,1,0,1,0,0,0,0,0,1,0
38,Mike Vasil,L,25,us US,L,R,6-5,225,2000-03-19,1st,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,,vasilmi01,P,1,1,0,0,0,0,0,0,0,0,0,0,0
39,Andrew Vaughn,R,27,us US,R,R,5-10,215,1998-04-03,5,44,44,44,31,0,0,31,0,0,0,0,0,0,0,13,,,,vaughan01,"1B,DH",2,0,0,1,0,0,0,0,0,0,0,1,0
40,Bryse Wilson,R,27,us US,R,R,6-2,255,1997-12-20,8,14,4,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,,wilsobr02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
41,Steven Wilson,R,30,us US,R,R,6-4,220,1994-08-24,4,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,,wilsost02,P,1,1,0,0,0,0,0,0,0,0,0,0,0
42,Gage Workman,L,25,,L,R,6-4,202,1999-10-24,1st,3,1,3,3,0,0,0,0,2,1,0,0,0,0,0,,,,workmga01,"3B,SS",2,0,0,0,0,1,1,0,0,0,0,0,0
